ID_Soporte;ITEM;EWP;CWP;CWA;PWP;ID_LINEA;ID_ISO;CLASE;ID_TipoSoporte;DIAM.;CANTIDAD;UNIDAD;PESO_TOTAL;UNIDAD2;SUMINISTRO;OBSERV.;;
"177_SA-10, ABRAZADERA ESTANDAR_8""";177;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"178_SA-10, ABRAZADERA ESTANDAR_8""";178;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"180_SA-10, ABRAZADERA ESTANDAR_8""";180;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"181_SA-10, ABRAZADERA ESTANDAR_8""";181;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"182_SA-10, ABRAZADERA ESTANDAR_8""";182;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"183_SA-10, ABRAZADERA ESTANDAR_8""";183;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"184_SA-10, ABRAZADERA ESTANDAR_8""";184;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"185_SA-10, ABRAZADERA ESTANDAR_8""";185;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"186_SA-10, ABRAZADERA ESTANDAR_8""";186;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"187_SA-10, ABRAZADERA ESTANDAR_6""";187;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"6""";1;un;-;kg;Contratista;;;
"188_SA-10, ABRAZADERA ESTANDAR_8""";188;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"189_SA-10, ABRAZADERA ESTANDAR_8""";189;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"8""";1;un;-;kg;Contratista;;;
"190_SA-10, ABRAZADERA ESTANDAR_6""";190;EWP-3351-10-PA-220;CWP-3351-10-PA-220;CWA-3351-10;PWP-3351-10-PA-220;03351-CT-200-H2-0002-N;;H2;SA-10, ABRAZADERA ESTANDAR;"6""";1;un;-;kg;Contratista;;;
