ID_VALVULA;ID_MTO;ID_LINEA;CLASE;DESCRIPCION;TAG PIPING;Correlativo Maqueta;Número Aconex;DIAGRAMA;TAG INSTRUMENTACION;DIAM.;CANTIDAD
VAL001;1.2509;"03351-CT-6""-C3-0023-R3";C3;VÁLVULA CONO, ACERO CARBONO ASTM A216 WCB TRIMASTM A216 WCB ASME B16.34 ANSI B16.5 RF CL 150 LO NITRILO Y ASIENTO METALICO;2-VHC-500;086;;;Manual;"2""";1
VAL002;1.2510;"03351-CT-6""-C3-0018-R3";C3;VÁLVULA CONO, ACERO CARBONO ASTM A216 WCB TRIMASTM A216 WCB ASME B16.34 ANSI B16.5 RF CL 150 LO NITRILO Y ASIENTO METALICO;2-VHC-500;077;;;Manual;"2""";1
VAL003;1.2511;"03351-CT-6""-C3-0021-R3";C3;VÁLVULA CONO, ACERO CARBONO ASTM A216 WCB TRIMASTM A216 WCB ASME B16.34 ANSI B16.5 RF CL 150 LO NITRILO Y ASIENTO METALICO;2-VHC-500;093;;;Manual;"2""";1
VAL004;1.2512;"03351-CT-6""-C3-0023-R3";C3;VÁLVULA CONO, ACERO CARBONO ASTM A216 WCB TRIMASTM A216 WCB ASME B16.34 ANSI B16.5 RF CL 150 LO NITRILO Y ASIENTO METALICO;3-VHC-500;085;;;Manual;"3""";1
VAL005;1.2513;"03351-CT-6""-C3-0021-R3";C3;VÁLVULA CONO, ACERO CARBONO ASTM A216 WCB TRIMASTM A216 WCB ASME B16.34 ANSI B16.5 RF CL 150 LO NITRILO Y ASIENTO METALICO;3-VHC-500;092;;;Manual;"3""";1
VAL006;1.2514;"03351-CT-6""-C3-0018-R3";C3;VÁLVULA CONO, ACERO CARBONO ASTM A216 WCB TRIMASTM A216 WCB ASME B16.34 ANSI B16.5 RF CL 150 LO NITRILO Y ASIENTO METALICO;3-VHC-500;076;;;Manual;"3""";1
VAL007;1.2515;"03351-GW-1""-C1-0035-N";C1;VÁLVULA DE ASIENTO INCLINADO, MATERIAL CUERPO ASTM A351-CF3M, MATERIAL JUNTAS FPM, MATERIAL USILLO PTFE, MATERIAL ASIENTO PTFE, NPT ASME B1.20.1, PO;0.75-VAL-200;067;;;HV-1086;"3/4""";1
VAL008;1.2516;"03351-GW-1""-C1-0033-N";C1;VÁLVULA DE ASIENTO INCLINADO, MATERIAL CUERPO ASTM A351-CF3M, MATERIAL JUNTAS FPM, MATERIAL USILLO PTFE, MATERIAL ASIENTO PTFE, NPT ASME B1.20.1, PO;0.75-VAL-200;059;;;HV-1085;"3/4""";1
VAL009;1.2517;"03351-GW-1""-C1-0031-N";C1;VÁLVULA DE ASIENTO INCLINADO, MATERIAL CUERPO ASTM A351-CF3M, MATERIAL JUNTAS FPM, MATERIAL USILLO PTFE, MATERIAL ASIENTO PTFE, NPT ASME B1.20.1, PO;0.75-VAL-200;050;;;HV-1084;"3/4""";1
VAL010;1.2518;"03351-PW-4""-C1-0094-N";C1;VÁLVULA DE BOLA 2 CUERPOS, API 608, CUERPO ASTM A216 GR. WCB, BOLA A316, ASIENTO RPTFE, ANSI B16.5 CLASE 150 RF, LO;4-VBB-103;148;;;Manual;"4""";1
