ID_ISO;ID_LINEA;SHEET;REV;PLANO_CONTRATISTA;PLANO_CODELCO;CLASE;NPS;INGENIERIA;CONDICION;SPOOLEADO;ESTATUS;DISTRIBUIDO;OBSERVACIONES
"03351-CT-6""-C3-0021-R3_HOJA-18";"03351-CT-6""-C3-0021-R3";18;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-19";"03351-CT-6""-C3-0021-R3";19;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-20";"03351-CT-6""-C3-0021-R3";20;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-21";"03351-CT-6""-C3-0021-R3";21;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-22";"03351-CT-6""-C3-0021-R3";22;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-23";"03351-CT-6""-C3-0021-R3";23;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-24";"03351-CT-6""-C3-0021-R3";24;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-25";"03351-CT-6""-C3-0021-R3";25;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-26";"03351-CT-6""-C3-0021-R3";26;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0021-R3_HOJA-27";"03351-CT-6""-C3-0021-R3";27;0;F039-SS01-ISO-PI-004;4600022667-001-03350-502CA-00004;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0007-R3_HOJA-1";"03351-CT-6""-C3-0007-R3";1;0;F039-SS01-ISO-PI-005;4600022667-001-03350-502CA-00005;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0007-R3_HOJA-2";"03351-CT-6""-C3-0007-R3";2;0;F039-SS01-ISO-PI-005;4600022667-001-03350-502CA-00005;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0007-R3_HOJA-3";"03351-CT-6""-C3-0007-R3";3;0;F039-SS01-ISO-PI-005;4600022667-001-03350-502CA-00005;C3;12;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0023-R3_HOJA-1";"03351-CT-6""-C3-0023-R3";1;0;F039-SS01-ISO-PI-006;4600022667-001-03350-502CA-00006;C3;4;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0023-R3_HOJA-2";"03351-CT-6""-C3-0023-R3";2;0;F039-SS01-ISO-PI-006;4600022667-001-03350-502CA-00006;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0023-R3_HOJA-3";"03351-CT-6""-C3-0023-R3";3;0;F039-SS01-ISO-PI-006;4600022667-001-03350-502CA-00006;C3;2;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0023-R3_HOJA-4";"03351-CT-6""-C3-0023-R3";4;0;F039-SS01-ISO-PI-006;4600022667-001-03350-502CA-00006;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0046-R3_HOJA-1";"03351-CT-6""-C3-0046-R3";1;0;F039-SS01-ISO-PI-007;4600022667-001-03350-502CA-00007;C3;6;JRI;Dibujado;SI;Vigente;SI;
"03351-CT-6""-C3-0046-R3_HOJA-2";"03351-CT-6""-C3-0046-R3";2;0;F039-SS01-ISO-PI-007;4600022667-001-03350-502CA-00007;C3;6;JRI;Dibujado;SI;Vigente;SI;
